n,lam,beta,<H1>,<-err,\int_0^{beta} \dtau <H1(tau)H1>,<--std,\int_0^{beta} \dtau tau <H1(tau)H1>,<--std,\int_0^{beta/2} \dtau tau <H1(tau)H1>,<--std,rng,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time (s)
2,-0.44472361809045236,5.0,0.01736,0.000804181841,0.0954491576,0.00370273043,0.238622894,0.00925682606,0.0449749985,0.00191770492,1370102282,20000000,1000000,10,1,0,0.1226,6,14.74
2,-0.4296482412060303,5.0,0.01562,0.000702021178,0.0835988751,0.00336434794,0.209017775,0.00841189486,0.0388102621,0.00180633297,1370102282,20000000,1000000,10,1,0,0.12244,6,14.71
2,-0.414572864321608,5.0,0.0141,0.000692153383,0.0730588469,0.00311323681,0.182626522,0.00778082869,0.0331116476,0.00165764149,1370102282,20000000,1000000,10,1,0,0.11916,6,14.7
2,-0.39949748743718594,5.0,0.01302,0.00074224126,0.0657323679,0.00296195163,0.164310315,0.00739960348,0.0290371822,0.001492447,1370102282,20000000,1000000,10,1,0,0.11872,6,14.44
2,-0.3844221105527639,5.0,0.0123,0.000714199077,0.0661625583,0.00297937131,0.16542701,0.00745214929,0.0290243328,0.0015181129,1370102282,20000000,1000000,10,1,0,0.11628,6,14.42
2,-0.3693467336683418,5.0,0.01088,0.000638854396,0.0583190723,0.00258754812,0.145797681,0.00646887031,0.0246394314,0.00130636064,1370102282,20000000,1000000,10,1,0,0.11476,6,14.52
2,-0.35427135678391974,5.0,0.01118,0.000750655938,0.0570463961,0.00280649749,0.14261599,0.00701624372,0.0233922986,0.00139054298,1370102282,20000000,1000000,10,1,0,0.11398,6,14.39
2,-0.33919597989949746,5.0,0.00848,0.000647793908,0.0484053907,0.00244090288,0.120972177,0.00610178213,0.0195319622,0.00119279973,1370102282,20000000,1000000,10,1,0,0.11234,6,14.41
2,-0.3241206030150754,5.0,0.00932,0.000646080553,0.0475791162,0.00234683141,0.11894779,0.00586707853,0.0185821621,0.00110035683,1370102282,20000000,1000000,10,1,0,0.11136,4,14.45
2,-0.3090452261306533,5.0,0.00878,0.000674883896,0.0444971153,0.00228264605,0.111242788,0.00570661514,0.016617058,0.00102321051,1370102282,20000000,1000000,10,1,0,0.11148,4,14.4
2,-0.29396984924623126,5.0,0.00784,0.000614204027,0.0434546269,0.00221170657,0.108636567,0.00552926643,0.0166990671,0.00106077226,1370102282,20000000,1000000,10,1,0,0.1108,6,14.46
2,-0.2788944723618092,5.0,0.007,0.000626714516,0.0390189818,0.00207622371,0.0975474544,0.00519055927,0.0144146737,0.000966738737,1370102282,20000000,1000000,10,1,0,0.10946,4,14.28
2,-0.2638190954773869,5.0,0.00638,0.00054587022,0.0342575363,0.00199250523,0.0856438408,0.00498126307,0.0121535958,0.000876228973,1370102282,20000000,1000000,10,1,0,0.10658,4,14.26
2,-0.24874371859296485,5.0,0.00702,0.00058980495,0.0365793376,0.00203784305,0.091448344,0.00509460762,0.0131303623,0.000934321991,1370102282,20000000,1000000,10,1,0,0.10612,4,14.29
2,-0.23366834170854278,5.0,0.00588,0.000624871392,0.0338563554,0.00189814945,0.0846408885,0.00474537362,0.0114092821,0.000783867446,1370102282,20000000,1000000,10,1,0,0.1066,4,14.29
2,-0.21859296482412072,5.0,0.00494,0.000553544257,0.0300061484,0.00160808362,0.0750153711,0.00402020904,0.00999962178,0.000712452368,1370102282,20000000,1000000,10,1,0,0.1057,4,14.28
2,-0.20351758793969865,5.0,0.00462,0.000588905458,0.0303387555,0.00175672524,0.0758468888,0.00439181311,0.0100643635,0.000744648848,1370102282,20000000,1000000,10,1,0,0.10526,4,14.5
2,-0.18844221105527637,5.0,0.00526,0.000564094327,0.0301460733,0.00167594996,0.0753651833,0.00418987491,0.00954786429,0.000707481257,1370102282,20000000,1000000,10,1,0,0.1082,6,14.39
2,-0.1733668341708543,5.0,0.00406,0.000498255592,0.0262953235,0.00155088332,0.0657162608,0.00387242047,0.00799756054,0.000608188769,1370102282,20000000,1000000,10,1,0,0.10772,6,14.29
2,-0.15829145728643224,5.0,0.00408,0.000522404081,0.0270279612,0.00157411855,0.0675699031,0.00393529637,0.00802283471,0.000576868456,1370102282,20000000,1000000,10,1,0,0.10728,6,14.29
2,-0.14321608040201017,5.0,0.00442,0.000545016119,0.0265337013,0.00161612336,0.0663342532,0.00404030839,0.00786840015,0.000590067869,1370102282,20000000,1000000,10,1,0,0.10664,6,14.27
2,-0.1281407035175881,5.0,0.00334,0.00051149203,0.0258765489,0.00153942944,0.0646913721,0.00384857361,0.007666322,0.000584582247,1370102282,20000000,1000000,10,1,0,0.10518,6,14.28
