n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,-0.18844221105527637,20.0,0.0043995864,0.00122813304,0.0337232402,0.00339656719,0.336002458,0.0336669223,0.0108091081,0.00194328891,3026438146,None,59,100000,1000000,10,1,0,0.5704,6,10.35
100,-0.1733668341708543,20.0,0.00417960708,0.00118991969,0.0321124699,0.00320688529,0.3201476,0.0319272272,0.0100587818,0.00196554306,3026438146,None,59,100000,1000000,10,1,0,0.56864,6,10.25
100,-0.15829145728643224,20.0,0.00423960144,0.00116673895,0.0302610892,0.0029649934,0.301764354,0.0294620784,0.00981387367,0.00146129504,3026438146,None,59,100000,1000000,10,1,0,0.5299,6,9.78
100,-0.14321608040201017,20.0,0.00385963716,0.00105043257,0.0263367263,0.00270350662,0.263864344,0.0271413755,0.00766364061,0.00130168755,3026438146,None,59,100000,1000000,10,1,0,0.50928,6,9.3
100,-0.1281407035175881,20.0,0.00283973304,0.00104378711,0.028501553,0.00299110255,0.285506955,0.0301397178,0.0096944472,0.00175638061,3026438146,None,59,100000,1000000,10,1,0,0.55656,6,9.95
100,-0.11306532663316582,20.0,0.00421960332,0.00107067132,0.0276553812,0.00269990988,0.276674465,0.0270309793,0.00731856715,0.00144506256,3026438146,None,59,100000,1000000,10,1,0,0.53586,6,9.73
100,-0.09798994974874375,20.0,0.00235977816,0.00111932951,0.0281756301,0.00294441584,0.2806639,0.0290805312,0.00711457469,0.00169300831,3026438146,None,59,100000,1000000,10,1,0,0.58102,6,10.48
100,-0.08291457286432169,20.0,0.00197981388,0.00114407557,0.0301684726,0.00290096689,0.301080235,0.0288782866,0.00773064601,0.00167055519,3026438146,None,59,100000,1000000,10,1,0,0.59136,6,10.49
100,-0.06783919597989962,20.0,0.00327969168,0.00122846256,0.0289131906,0.00265227148,0.288770541,0.0265068185,0.0073436563,0.00134797999,3026438146,None,59,100000,1000000,10,1,0,0.5425,6,9.82
100,-0.05276381909547734,20.0,0.00225978756,0.00120328301,0.029217959,0.00271711614,0.291816738,0.0271582065,0.00698853287,0.00151546821,3026438146,None,59,100000,1000000,10,1,0,0.57288,6,10.36
100,-0.03768844221105527,20.0,0.00183982704,0.00116878828,0.0290888475,0.00277437943,0.290888924,0.0277072821,0.0089898028,0.00154800871,3026438146,None,59,100000,1000000,10,1,0,0.54372,6,9.88
100,-0.022613065326633208,20.0,-0.00017998308,0.00111760128,0.0280360607,0.00275079105,0.280000085,0.0273931941,0.006802805,0.00146551975,3026438146,None,59,100000,1000000,10,1,0,0.55132,6,10.17
100,-0.007537688442211143,20.0,-0.00193981764,0.00100298611,0.0284592177,0.00263007674,0.284832621,0.0263564081,0.00622787679,0.00121421172,3026438146,None,59,100000,1000000,10,1,0,0.56784,6,10.1
100,0.007537688442210921,20.0,0.0010998966,0.00100129045,0.0284531266,0.00262960048,0.28477171,0.0263516578,0.0061802845,0.00120852132,3026438146,None,59,100000,1000000,10,1,0,0.56784,6,10.13
100,0.022613065326633208,20.0,-0.00051995112,0.00110215693,0.0279337303,0.00272349994,0.278735806,0.0270337602,0.00661824366,0.00146186193,3026438146,None,59,100000,1000000,10,1,0,0.5519,6,10.01
100,0.03768844221105527,20.0,-0.00267974808,0.00098944584,0.0253014897,0.00246737563,0.252774295,0.0246219573,0.00516108943,0.00145160885,3026438146,None,59,100000,1000000,10,1,0,0.5434,6,9.85
100,0.05276381909547734,20.0,-0.00383963904,0.00111433929,0.0291531688,0.00272352162,0.291529796,0.0271484878,0.00743787123,0.00131368313,3026438146,None,59,100000,1000000,10,1,0,0.57364,6,10.37
100,0.0678391959798994,20.0,-0.00397962588,0.00110965451,0.0282067493,0.0025283541,0.281706942,0.0252363645,0.00684861913,0.00131885724,3026438146,None,59,100000,1000000,10,1,0,0.54322,6,9.85
