n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,1.0,5.0,-0.721963608,0.0117658336,6.66880421,0.104405135,16.6726439,0.261065757,4.08373465,0.0667850133,4109413259,None,157,100000,1000000,10,0.99908,0.000178723722,0.4174,6,50.82
2,1.0,5.0,-0.71452,0.00303273281,6.65681001,0.0286387084,16.6420451,0.0715933401,4.08350297,0.0178262713,2796826566,None,0,100000,1000000,10,1,0,0.32586,6,1.92
100,1.0,5.0,-0.69166455,0.0232319779,6.39477151,0.239529438,15.9972185,0.598900421,3.91552983,0.14851248,2796826566,None,44,100000,1000000,10,0.77312,0.0222712978,2.34009,15,110.68
2,1.0,5.0,-0.7139,0.00291450465,6.65774756,0.0272877798,16.6443365,0.0682246583,4.0853812,0.0169658932,593867960,None,0,100000,1000000,10,1,0,0.31718,6,1.73
100,1.0,5.0,-0.705909445,0.0117288774,6.62826941,0.116006571,16.5418263,0.289973514,4.08037343,0.0727819379,593867960,None,176,100000,1000000,10,0.9527,0.0072957076,0.69393,10,83.9
2,1.0,5.0,-0.70904,0.00330879223,6.59932288,0.0309246953,16.4983473,0.077310821,4.04769815,0.0191918408,1999566690,None,0,100000,1000000,10,1,0,0.32974,6,1.78
100,1.0,5.0,-0.775107851,0.0343412614,6.40120112,0.313360822,16.0038608,0.783577789,3.92444725,0.197299858,1999566690,None,100,100000,1000000,10,0.1654,0.021503884,11.89191,24,2141.14
2,1.0,5.0,-0.7121,0.00307463388,6.63230528,0.028810307,16.5807833,0.0720254437,4.06786256,0.0179374515,1365603128,None,0,100000,1000000,10,1,0,0.32774,6,1.78
100,1.0,5.0,-0.69272568,0.0221924632,6.54235814,0.234934251,16.3626471,0.588034016,4.0206113,0.146220559,1365603128,None,51,100000,1000000,10,0.7976,0.0203122453,1.88569,17,155.6
2,1.0,5.0,-0.71206,0.00312822133,6.61490223,0.029349443,16.537308,0.0733713562,4.05458401,0.0182914984,3116011270,None,0,100000,1000000,10,1,0,0.33788,6,1.75
100,1.0,5.0,-0.71146431,0.0118265303,6.60902199,0.115713627,16.5223599,0.289274503,4.0503603,0.0731382722,3116011270,None,92,100000,1000000,10,0.99762,0.000379365355,0.38219,6,34.19
2,1.0,5.0,-0.70866,0.00316196294,6.59707717,0.02949079,16.492713,0.0737269373,4.04588065,0.0183375997,3923723647,None,0,100000,1000000,10,1,0,0.3219,6,1.74
100,1.0,5.0,-0.710687494,0.0119393408,6.64459017,0.110667321,16.6166791,0.276315801,4.07702886,0.0693260993,3923723647,None,89,100000,1000000,10,0.9837,0.0041375982,0.46451,10,37.97
2,1.0,5.0,-0.70698,0.00309915107,6.57304897,0.0281959154,16.4326224,0.0704897886,4.03000225,0.0174206061,1405552382,None,0,100000,1000000,10,1,0,0.33052,8,1.74
100,1.0,5.0,-0.685476812,0.0210385728,6.46964526,0.241597238,16.2853951,0.603004171,3.9959119,0.148417532,1405552382,None,88,100000,1000000,10,0.44476,0.0226768589,5.48428,24,832.59
2,1.0,5.0,-0.7135,0.00310230514,6.63952682,0.0284190801,16.598817,0.0710477003,4.07170892,0.0176260854,2904898082,None,0,100000,1000000,10,1,0,0.3277,6,1.76
100,1.0,5.0,-0.696372549,0.0685318685,6.65904126,0.932439899,17.0632629,2.29055743,4.1730104,0.579464553,2904898082,None,199,100000,1000000,10,0.15988,0.0161170151,8.87378,28,1900.67
2,1.0,5.0,-0.71176,0.0032179856,6.62884942,0.0298584362,16.5721236,0.0746460905,4.0659545,0.018534452,2206110902,None,0,100000,1000000,10,1,0,0.32588,8,1.81
100,1.0,5.0,-0.720157738,0.013807074,6.70148501,0.131785658,16.7522976,0.329128364,4.10754799,0.0820795662,2206110902,None,189,100000,1000000,10,0.99228,0.00197514841,0.44709,8,58.5
2,1.0,5.0,-0.70696,0.00307154213,6.57739314,0.0287085746,16.4435029,0.0717716803,4.03402629,0.0178642347,3890146427,None,0,100000,1000000,10,1,0,0.32272,6,1.76
100,1.0,5.0,-0.697100165,0.0120519032,6.55588265,0.116046898,16.3889784,0.289906393,4.02920893,0.0719149539,3890146427,None,29,100000,1000000,10,0.99434,0.00151811604,0.36168,6,15.52
2,1.0,5.0,-0.70922,0.00309234812,6.6081137,0.028733111,16.5202318,0.0718393377,4.05349814,0.0178338307,1033691786,None,0,100000,1000000,10,1,0,0.32216,6,1.8
100,1.0,5.0,-0.66762275,0.0194942647,6.23165832,0.19130995,15.5038073,0.480132973,3.81973175,0.118187466,1033691786,None,132,100000,1000000,10,0.6026,0.0250948914,3.57263,18,508.74
2,1.0,5.0,-0.7121,0.00316690339,6.62210524,0.0288183611,16.5553032,0.0720469906,4.06005569,0.0178203744,1305568115,None,0,100000,1000000,10,1,0,0.3272,6,1.79
100,1.0,5.0,-0.707411955,0.0118631744,6.55148377,0.106119581,16.3756606,0.265199515,4.01328144,0.0661299427,1305568115,None,149,100000,1000000,10,0.9957,0.000615104392,0.40485,6,49.46
2,1.0,5.0,-0.70604,0.00308872701,6.58644878,0.0284535038,16.4661219,0.0711337595,4.04105538,0.0176489428,2666264218,None,0,100000,1000000,10,1,0,0.31892,6,1.78
100,1.0,5.0,-0.711346898,0.0228165265,6.72066317,0.239570673,16.8575293,0.600393183,4.11756292,0.14934783,2666264218,None,96,100000,1000000,10,0.60948,0.0260241261,4.09496,22,595.73
2,1.0,5.0,-0.71238,0.00337379197,6.62310142,0.0306786253,16.5577736,0.0766975332,4.06042186,0.0188611011,1193423336,None,0,100000,1000000,10,1,0,0.3322,6,1.78
100,1.0,5.0,-0.71715804,0.0118562422,6.52752247,0.101255709,16.3195114,0.253154263,3.98962128,0.064379495,1193423336,None,170,100000,1000000,10,0.99172,0.00339775593,0.48873,7,62.02
2,1.0,5.0,-0.70838,0.00308856916,6.60570164,0.0286508192,16.5142541,0.0716270479,4.05358931,0.0177732133,316042340,None,0,100000,1000000,10,1,0,0.31796,6,1.76
100,1.0,5.0,-0.698154913,0.014285676,6.53992484,0.135607297,16.3502612,0.338972429,4.01584105,0.0842068793,316042340,None,86,100000,1000000,10,0.99632,0.000792174578,0.37796,8,12.73
2,1.0,5.0,-0.71324,0.0029680375,6.6535664,0.0271043088,16.633916,0.0677642733,4.08312656,0.0167779295,2972217193,None,0,100000,1000000,10,1,0,0.3204,6,1.77
100,1.0,5.0,-0.715546201,0.0134729297,6.68828687,0.120797996,16.740097,0.304407435,4.10182683,0.0758052362,2972217193,None,119,100000,1000000,10,0.98026,0.00463305411,0.53938,8,51.7
2,1.0,5.0,-0.70944,0.00332900506,6.57959109,0.0309431198,16.4489627,0.0773582245,4.03138305,0.0192310849,120783945,None,0,100000,1000000,10,1,0,0.3462,8,1.82
100,1.0,5.0,-0.715463669,0.0137301143,6.67384654,0.135989323,16.6893027,0.340294276,4.09240571,0.0839832854,120783945,None,3,100000,1000000,10,0.98108,0.00160975141,0.71921,11,6.45
2,1.0,5.0,-0.70826,0.00326775189,6.60306166,0.0302550838,16.5076542,0.0756377095,4.05097166,0.018766762,4198334275,None,0,100000,1000000,10,1,0,0.3245,6,1.75
100,1.0,5.0,-0.642382293,0.0374185097,5.88621348,0.540227109,14.6742987,1.35604341,3.64512262,0.33518268,4198334275,None,46,100000,1000000,10,0.36766,0.0270608584,7.83973,31,1182.08
2,1.0,5.0,-0.7071,0.00291422904,6.59130629,0.0268880715,16.4782657,0.0672201787,4.04370224,0.0167133952,167272076,None,0,100000,1000000,10,1,0,0.32446,6,1.79
100,1.0,5.0,-0.717522849,0.013964145,6.64132673,0.138954437,16.6100164,0.34724561,4.06373847,0.08733952,167272076,None,102,100000,1000000,10,0.97044,0.00520179394,0.59945,12,47.29
2,1.0,5.0,-0.71394,0.00323073617,6.64645923,0.0302875217,16.6161481,0.0757188041,4.07655058,0.0187937187,2084310749,None,0,100000,1000000,10,1,0,0.3253,6,1.76
100,1.0,5.0,-0.729843269,0.0275730276,6.72883502,0.317143798,16.8302911,0.793104367,4.11638748,0.19675993,2084310749,None,58,100000,1000000,10,0.63042,0.0271440249,4.29153,21,326.48
2,1.0,5.0,-0.71168,0.00297525106,6.60813273,0.0272251932,16.5203318,0.068062983,4.05038897,0.0168642663,981201754,None,0,100000,1000000,10,1,0,0.33492,6,1.68
100,1.0,5.0,-0.71369897,0.0113119854,6.65095365,0.109454664,16.6263783,0.273520311,4.07873327,0.0686892086,981201754,None,26,100000,1000000,10,0.99698,0.0024622284,0.36368,6,5.16
2,1.0,5.0,-0.71024,0.00304737849,6.60451941,0.0276954977,16.5112985,0.0692387443,4.04953263,0.0171780238,1941422520,None,0,100000,1000000,10,1,0,0.3255,6,1.8
100,1.0,5.0,-0.710758626,0.0157891678,6.60805847,0.151595609,16.5156976,0.382142863,4.05722982,0.0932092882,1941422520,None,144,100000,1000000,10,0.7319,0.0210006588,2.36082,14,356.08
2,1.0,5.0,-0.71056,0.00309013614,6.62424155,0.0285507855,16.5606039,0.0713769636,4.06431598,0.0177341265,1969874232,None,0,100000,1000000,10,1,0,0.32162,6,1.78
100,1.0,5.0,-0.720013158,0.0119620985,6.72474391,0.119913641,16.8231055,0.30061321,4.12025454,0.0752986826,1969874232,None,164,100000,1000000,10,0.96768,0.00699219806,0.57508,9,71.25
2,1.0,5.0,-0.70528,0.00279322301,6.56647756,0.0266260797,16.416234,0.066565731,4.02719124,0.0166921939,1089504624,None,0,100000,1000000,10,1,0,0.3316,6,1.77
100,1.0,5.0,-0.705506495,0.0129699351,6.60399819,0.154852696,16.5099262,0.390269547,4.04831648,0.0957976301,1089504624,None,136,100000,1000000,10,0.98428,0.00403910682,0.53896,7,61.57
2,1.0,5.0,-0.70456,0.00320755033,6.55121524,0.029460181,16.3779779,0.0736505347,4.01664872,0.0182610998,3925654872,None,0,100000,1000000,10,1,0,0.32826,6,1.77
100,1.0,5.0,-0.70490046,0.0127523534,6.49615569,0.121463161,16.2358399,0.303847992,3.97721494,0.0756101416,3925654872,None,183,100000,1000000,10,0.96896,0.00414036764,0.60365,10,75.7
2,1.0,5.0,-0.70888,0.00308666363,6.60088258,0.0283940584,16.5022065,0.0709851459,4.04866395,0.0175844008,1635187307,None,0,100000,1000000,10,1,0,0.32832,6,1.79
100,1.0,5.0,-0.728796332,0.0110149826,6.72091408,0.109954364,16.794434,0.274401788,4.12133172,0.0698028155,1635187307,None,196,100000,1000000,10,0.9707,0.00577607933,0.61834,13,82
2,1.0,5.0,-0.70926,0.0033686199,6.59358941,0.0312892276,16.4839133,0.0782274413,4.04269158,0.0194398666,3066238109,None,0,100000,1000000,10,1,0,0.32762,6,1.78
100,1.0,5.0,-0.695684453,0.011752548,6.48329153,0.111889485,16.2083101,0.279734306,3.97934667,0.0702693408,3066238109,None,45,100000,1000000,10,0.99828,0.000276536235,0.38592,6,8.64
2,1.0,5.0,-0.7082,0.00298467303,6.58958008,0.027540407,16.4739502,0.0688510175,4.0412911,0.0170960024,4023596244,None,0,100000,1000000,10,1,0,0.32488,6,1.77
100,1.0,5.0,-0.699862132,0.012407396,6.50298887,0.122138566,16.25551,0.305297215,3.98791245,0.0762544897,4023596244,None,33,100000,1000000,10,0.992,0.00231409163,0.39584,8,7.71
2,1.0,5.0,-0.71122,0.00295033291,6.61718121,0.0279961352,16.5429731,0.0699895449,4.05766576,0.0175262546,3528225635,None,0,100000,1000000,10,1,0,0.33238,6,1.79
100,1.0,5.0,-0.683692478,0.0147189081,6.32108925,0.14309964,15.8023677,0.357627557,3.87267136,0.0886860365,3528225635,None,49,100000,1000000,10,0.98578,0.00239736435,0.49868,8,12.62
2,1.0,5.0,-0.71122,0.00282445687,6.62434784,0.0268799674,16.5608696,0.0672012169,4.06280667,0.0168826029,3298922368,None,0,100000,1000000,10,1,0,0.3316,6,1.8
100,1.0,5.0,-0.716904854,0.0713819362,6.86170525,0.831401009,17.1826579,2.08387488,4.19409934,0.515897374,3298922368,None,4,100000,1000000,10,0.26238,0.0205366003,9.18051,24,442.8
2,1.0,5.0,-0.70826,0.00330708889,6.5978593,0.0302411498,16.4946683,0.0756030798,4.04674128,0.0186310143,955659914,None,0,100000,1000000,10,1,0,0.32656,6,1.77
100,1.0,5.0,-0.713929666,0.0202960276,6.70230373,0.210211451,16.7557152,0.526183453,4.11349021,0.130248344,955659914,None,37,100000,1000000,10,0.88466,0.0151912552,1.31537,13,46.73
2,1.0,5.0,-0.71502,0.00305393262,6.65060568,0.0278977663,16.6264941,0.0697447936,4.07829466,0.017263022,3498504272,None,0,100000,1000000,10,1,0,0.32892,8,1.78
100,1.0,5.0,-0.692965928,0.0384988955,6.46243905,0.452047124,16.1809734,1.13414503,3.94743234,0.279940877,3498504272,None,31,100000,1000000,10,0.39972,0.0269970489,6.03834,17,334.19
2,1.0,5.0,-0.7094,0.00314319562,6.60532775,0.02842423,16.5132793,0.0710606718,4.05094307,0.0175513026,2005153104,None,0,100000,1000000,10,1,0,0.32812,6,1.77
100,1.0,5.0,-0.712559075,0.0128401523,6.55999124,0.118977426,16.4005843,0.297620029,4.0088641,0.0739432917,2005153104,None,161,100000,1000000,10,0.9233,0.00770219027,0.85586,10,101.96
2,1.0,5.0,-0.71096,0.00300179224,6.62766888,0.027045832,16.5691521,0.0676141769,4.06640368,0.0166490741,365680250,None,0,100000,1000000,10,1,0,0.31702,6,1.76
100,1.0,5.0,-0.670070298,0.0248867211,6.26962133,0.253823032,15.7302732,0.638911361,3.86327124,0.160769968,365680250,None,118,100000,1000000,10,0.42938,0.0269249825,6.52289,23,1104.93
